MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Bacchus Marsh Road,CORIO,ABCD,2023-09-01 00:00:00
Bacchus Marsh Road,LITTLE RIVER,ABCD,T
Back Beach Road,VENTNOR,A,2024-09-01 00:00:00
Back Eildon Road,THORNTON,C,2024-04-01 00:00:00
Back Porepunkah Road,POREPUNKAH,ABCD,2024-04-01 00:00:00
Bakers Road,NOBLE PARK NORTH,C,2024-08-01 00:00:00
Balcombe Road,BEAUMARIS,ABC,2024-03-01 00:00:00
Balcombe Road,MENTONE,AC,2024-06-01 00:00:00
Ballan Road,BATESFORD,ABC,2024-08-01 00:00:00
Ballan Road,WYNDHAM VALE,C,2023-08-01 00:00:00
Ballan-Daylesford Road,BUNDING,ABC,2024-08-01 00:00:00
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,2024-08-01 00:00:00
Ballarat Road,MAIDSTONE,ABC,2024-04-01 00:00:00
Ballarat Road,DEER PARK,ABCD,2024-05-02 00:00:00
Ballarat Road,RAVENHALL,BC,2024-05-02 00:00:00
Ballarat Road,FOOTSCRAY,C,2023-08-01 00:00:00
Ballarat Road,HAMILTON,C,2024-10-01 00:00:00
Ballarat-Maryborough Road,DAISY HILL,ACD,2024-10-01 00:00:00
Ballarto Road,SKYE,ABC,2024-09-01 00:00:00
Ballarto Road,CARRUM DOWNS,C,2024-09-01 00:00:00
Balwyn Road,BALWYN,C,2024-05-02 00:00:00
Bambra Road,CAULFIELD SOUTH,C,2024-06-01 00:00:00
Banbury Road,RESERVOIR,BCD,2024-08-01 00:00:00
Bandiana Link,WODONGA,ABCD,2024-08-01 00:00:00
Bandiana Link Road,WODONGA,ABCD,2024-10-01 00:00:00
Bank Street,AVENEL,C,2024-08-01 00:00:00
Banksia Street,HEIDELBERG HEIGHTS,BC,2024-08-01 00:00:00
Banksia Street,IVANHOE,BCD,2024-08-01 00:00:00
Bannons Lane,YARRAMBAT,AC,2024-08-01 00:00:00
Banyule Road,VIEWBANK,ABCD,2024-08-01 00:00:00
Baranduda Boulevard,BARANDUDA,ABCD,2024-10-01 00:00:00
Baranduda Boulevard,LENEVA,ABCD,2024-10-01 00:00:00
Barkers Road,HAWTHORN EAST,ACD,2024-07-01 00:00:00
Barkers Road,KEW,ACD,2024-07-01 00:00:00
Barkly Street,WEST FOOTSCRAY,C,2023-08-01 00:00:00
Barkly Street West,ARARAT,B,2024-10-01 00:00:00
Barmah-Shepparton Road,BUNBARTHA,ABCD,2024-08-01 00:00:00
Barmah-Shepparton Road,ZEERUST,AC,2024-08-01 00:00:00
Barnes Boulevard,HORSHAM,C,2024-10-01 00:00:00
Barrabool Road,HIGHTON,BC,2024-08-01 00:00:00
Barrands Lane,DRYSDALE,ABCD,2024-08-01 00:00:00
Barries Road,MELTON,C,2024-05-02 00:00:00
Barry Road,COOLAROO,ABC,2024-08-01 00:00:00
Barry Road,DALLAS,ABCD,2024-08-01 00:00:00
Barry Road,CAMPBELLFIELD,BCD,2024-08-01 00:00:00
Barrymore Road,GREENVALE,C,2024-08-01 00:00:00
Barwon Heads Road,CONNEWARRE,ABC,2024-08-01 00:00:00
Bass Highway,INVERLOCH,ABC,2024-09-01 00:00:00
Bass Highway,LANG LANG,ABCD,2023-08-01 00:00:00
Bass Highway,LANG LANG SOUTH,AC,2024-09-01 00:00:00
Bass Highway,DALYSTON,C,2024-09-01 00:00:00
Bass Highway,LEONGATHA SOUTH,C,2024-09-01 00:00:00
Bass Highway,THE GURDIES,C,2024-09-01 00:00:00
Bass Highway,WONTHAGGI,C,2024-09-01 00:00:00
Batesford Road,CHADSTONE,ABCD,2023-11-01 00:00:00
Batesford Road,MALVERN EAST,CD,2024-06-01 00:00:00
Baxter-Tooradin Road,BAXTER,ABC,2024-09-01 00:00:00
Baxter-Tooradin Road,PEARCEDALE,B,2024-04-01 00:00:00
Baxter-Tooradin Road,DEVON MEADOWS,C,2024-04-01 00:00:00
Bayswater Road,CROYDON,C,2024-07-01 00:00:00
Bayview Road,ROSEBUD,C,2024-09-01 00:00:00
Beach Road,BLACK ROCK,ABCD,2024-06-01 00:00:00
Beach Road,BEAUMARIS,AC,2024-03-01 00:00:00
Beach Road,SANDRINGHAM,ACD,2024-06-01 00:00:00
Beach Road,MORDIALLOC,C,2024-03-01 00:00:00
Beach Road,PARKDALE,C,2024-06-01 00:00:00
Beach Street,FRANKSTON,C,2024-09-01 00:00:00
Beacon Point Road,CLIFTON SPRINGS,BC,2024-08-01 00:00:00
Beaconsfield Parade,MIDDLE PARK,ABCD,2024-06-01 00:00:00
Beaconsfield Parade,ALBERT PARK,BCD,2024-06-01 00:00:00
Beaconsfield-Emerald Road,BEACONSFIELD,A,2024-04-01 00:00:00
Beaconsfield-Emerald Road,DEWHURST,AC,2024-04-01 00:00:00
Beaufort-Skipton Road,LAKE GOLDSMITH,C,2024-01-01 00:00:00
Beechworth Road,WODONGA,ABCD,2024-10-01 00:00:00
Beechworth-Wodonga Road,LENEVA,C,2024-10-01 00:00:00
Belgrave Road,MALVERN EAST,C,2024-06-01 00:00:00
Belgrave-Hallam Road,NARRE WARREN EAST,ABC,2024-07-01 00:00:00
Belgrave-Hallam Road,NARRE WARREN NORTH,B,2024-04-01 00:00:00
Bell Street,HEIDELBERG WEST,ABCD,2024-08-01 00:00:00
Bell Street,COBURG,AC,2024-08-01 00:00:00
Bellarine Highway,LEOPOLD,ACD,2024-08-01 00:00:00
Bellbridge Drive,HOPPERS CROSSING,C,2023-08-01 00:00:00
Bells Avenue,KALKALLO,ABC,2024-08-01 00:00:00
Belmore Road,BOX HILL NORTH,C,2024-01-01 00:00:00
Belmore Road,BALWYN,C,2024-06-01 00:00:00
Benalla-Winton Road,BENALLA,BC,2024-05-02 00:00:00
Benalla-Yarrawonga Road,GOORAMBAT,ABC,2024-04-01 00:00:00
Benalla-Yarrawonga Road,YARRAWONGA,ABC,2024-10-01 00:00:00
Benalla-Yarrawonga Road,DEVENISH,C,2024-04-01 00:00:00
Bendigo-Maldon Road,MALDON,C,2024-10-01 00:00:00
Bendigo-Maryborough Road,LOCKWOOD,AC,2024-10-01 00:00:00
Bendigo-Maryborough Road,SHELBOURNE,AC,2024-10-01 00:00:00
Bendigo-Maryborough Road,HAVELOCK,BC,2024-10-01 00:00:00
Bendigo-Murchison Road,WANALTA,ABC,2024-05-02 00:00:00
Bendigo-Murchison Road,MURCHISON,BC,2024-08-01 00:00:00
Bendigo-Pyramid Hill Road,RAYWOOD,ACD,2024-10-01 00:00:00
Bendigo-Pyramid Hill Road,WOODVALE,CD,2024-10-01 00:00:00
Bendigo-Redesdale Road,STRATHFIELDSAYE,C,2024-10-01 00:00:00
Benetook Avenue,MILDURA SOUTH,ABC,2024-08-01 00:00:00
Benetook Avenue,MILDURA,ABCD,2024-08-01 00:00:00
Benetook Avenue,KOORLONG,C,2024-08-01 00:00:00
Bengworden Road,CLYDEBANK,ABC,2023-12-01 00:00:00
Bengworden Road,BENGWORDEN,BCD,2023-12-01 00:00:00
Bengworden Road,COBAINS,C,2023-12-01 00:00:00
Bengworden Road,PERRY BRIDGE,C,2023-12-01 00:00:00
Bennett Road,HORSHAM,C,2024-10-01 00:00:00
Bergins Road,ROWVILLE,ABC,2024-07-01 00:00:00
Berkshire Road,SUNSHINE NORTH,ABCD,2024-05-02 00:00:00
Berrabri Drive,SCORESBY,BC,2024-07-01 00:00:00
Biggs Street,ST ALBANS,BC,2024-05-02 00:00:00
Birchip-Wycheproof Road,BIRCHIP,C,2024-08-01 00:00:00
Birregurra Forrest  Road,BARWON DOWNS,AC,2024-08-01 00:00:00
Birregurra Forrest Road,MURROON,AC,2024-08-01 00:00:00
Black Dog Drive,BROOKFIELD,ABCD,2024-05-02 00:00:00
Black Flat Road,WHITTLESEA,C,2024-08-01 00:00:00
Black Forest Drive,MACEDON,AC,2024-05-02 00:00:00
Black Forest Road,WERRIBEE,C,2023-08-01 00:00:00
Black Forest Road,WYNDHAM VALE,C,2023-08-01 00:00:00
Blackburn Road,BLACKBURN SOUTH,ACD,2024-06-01 00:00:00
Blackburn Road,GLEN WAVERLEY,C,2024-06-01 00:00:00
Blackburn Road,MOUNT WAVERLEY,C,2024-06-01 00:00:00
Blackgate Road,CONNEWARRE,ABCD,2024-08-01 00:00:00
Blackshaws Road,ALTONA NORTH,C,2023-08-01 00:00:00
Blackshaws Road,SPOTSWOOD,C,2023-08-01 00:00:00
Bloomfield Road,NILMA NORTH,BC,T
Bluff Road,HAMPTON,ABC,2024-03-01 00:00:00
Bluff Road,SANDRINGHAM,ABC,2024-03-01 00:00:00
Blyth Street,ALTONA,BC,2023-08-01 00:00:00
Bobs Street,WHITE HILLS,BC,2024-10-01 00:00:00
Boes Road,TYABB,BC,2024-09-01 00:00:00
Bogong High Plains Road,FALLS CREEK,ABCD,2024-05-02 00:00:00
Bolton Street,ELTHAM,ABCD,2024-08-01 00:00:00
Boneo Road,ROSEBUD,C,2024-09-01 00:00:00
Booran Road,GLEN HUNTLY,C,2024-03-01 00:00:00
Boort-Kerang Road,KERANG,BC,2023-09-01 00:00:00
Booth Street,PRESTON,BCD,2024-08-01 00:00:00
Borung Highway,WOOROONOOK,AC,2024-08-01 00:00:00
Borung Highway,DONALD,C,2024-08-01 00:00:00
Botha Avenue,RESERVOIR,C,2024-08-01 00:00:00
Boundary Road,BRAESIDE,ABCD,T
Boundary Road,NEWCOMB,BC,2024-08-01 00:00:00
Boundary Road,MORDIALLOC,C,2024-06-01 00:00:00
Boundary Road,PASCOE VALE,C,2024-08-01 00:00:00
Boundary Street,KERANG,C,T
Bourke Road,CLARINDA,AC,2024-03-01 00:00:00
Bowden Street,CASTLEMAINE,ABCD,2024-10-01 00:00:00
Bowen Street,CAMBERWELL,BCD,2024-06-01 00:00:00
Bowser Road,NORTH WANGARATTA,ABCD,2024-08-01 00:00:00
Bowser Road,NORTH WANGARATTA,CD,2024-05-02 00:00:00
Bradford Road,MOUNT MARTHA,BCD,2024-09-01 00:00:00
Brady Road,DANDENONG NORTH,C,2024-08-01 00:00:00
Braeswood Road,KINGS PARK,BCD,2024-06-01 00:00:00
Brandy Creek Road,WARRAGUL,AC,T
Breadalbane Avenue,MERNDA,BC,2024-08-01 00:00:00
Bree Road,HAMILTON,C,2024-10-01 00:00:00
Bridge Inn Road,MERNDA,BC,2024-08-01 00:00:00
Bridge Street,BENALLA,C,2024-05-02 00:00:00
Bridgewater Road,CRAIGIEBURN,C,2024-08-01 00:00:00
Bridgewater Road,PORTLAND,C,T
Bridgewater Road,TREWALLA,C,T
Bridgewater-Serpentine Road,BRIDGEWATER,C,2024-10-01 00:00:00
Bridle Road,MORWELL,ABCD,2024-02-01 00:00:00
Bright Street,CALIFORNIA GULLY,BCD,2024-10-01 00:00:00
Broad Gully Road,DIAMOND CREEK,BC,2024-08-01 00:00:00
Broadford-Flowerdale Road,STRATH CREEK,C,2024-08-01 00:00:00
Broadford-Kilmore Road,KILMORE,ABCD,2024-08-01 00:00:00
Broadford-Kilmore Road,BROADFORD,C,2024-08-01 00:00:00
Broadford-Wandong  Road,BROADFORD,C,2024-08-01 00:00:00
Broadford-Wandong Road,BROADFORD,C,2024-08-01 00:00:00
Broadford-Wandong Road,KILMORE EAST,C,2024-08-01 00:00:00
Broadhurst Avenue,RESERVOIR,ABCD,2024-08-01 00:00:00
Broadmeadows Road,TULLAMARINE,C,2024-08-01 00:00:00
Broadmeadows Road Deviation,WESTMEADOWS,BC,2024-08-01 00:00:00
Broadway,RESERVOIR,AC,2024-08-01 00:00:00
Broadway,DUNOLLY,BCD,2024-10-01 00:00:00
Brodie Street,WANGARATTA,BC,2024-05-02 00:00:00
Broken River Drive,SHEPPARTON,ABC,2024-08-01 00:00:00
Bromley Road,ROBINVALE,C,T
Brooke Street,TOWONG,C,2024-10-01 00:00:00
Brooklyn Road,BROOKFIELD,ABCD,2024-05-02 00:00:00
Brossard Road,MICKLEHAM,ABC,2024-08-01 00:00:00
Brown Road,PAKENHAM,B,2024-04-01 00:00:00
Browning Street,ORBOST,BC,2024-05-02 00:00:00
Browning Street,KINGSBURY,BCD,2024-08-01 00:00:00
Browning Street,PORTLAND,C,T
Browns Road,BOTANIC RIDGE,B,2024-04-01 00:00:00
Browns Road,NOBLE PARK,C,2024-08-01 00:00:00
Browns Road,NOBLE PARK NORTH,C,2024-08-01 00:00:00
Brunswick Road,BRUNSWICK,C,2024-08-01 00:00:00
Bruthen-Nowa Nowa Road,NOWA NOWA,C,2023-12-01 00:00:00
Buckley Street,KEILOR EAST,BC,2024-08-01 00:00:00
Buckley Street,ESSENDON,C,2024-08-01 00:00:00
Buckley Street,ESSENDON WEST,C,2024-08-01 00:00:00
Bulban Road,WERRIBEE,ABCD,2023-08-01 00:00:00
Bulla Road,BULLA,ABCD,2024-08-01 00:00:00
Bulla Road,STRATHMORE,ABCD,2024-08-01 00:00:00
Bulla Road,ESSENDON NORTH,ABCD,T
Bulleen Road,BALWYN NORTH,C,2024-06-01 00:00:00
Bungower Road,MOOROODUC,ABCD,2024-09-01 00:00:00
Bungower Road,SOMERVILLE,ABCD,2024-09-01 00:00:00
Burke Road,GLEN IRIS,C,2024-06-01 00:00:00
Burke Road,MALVERN EAST,C,2024-06-01 00:00:00
Burns Street,MARYBOROUGH,BCD,2024-10-01 00:00:00
Burns Street,HAMILTON,C,2024-10-01 00:00:00
Burton Avenue,KYNETON,ABCD,T
Burwood Highway,KNOXFIELD,ABC,2024-07-01 00:00:00
Burwood Highway,WANTIRNA,ABCD,2024-07-01 00:00:00
Burwood Highway,WANTIRNA SOUTH,ABCD,2024-07-01 00:00:00
Burwood Highway,VERMONT SOUTH,ACD,2024-06-01 00:00:00
Butcher Street,ECHUCA,BCD,2024-05-02 00:00:00
Buxton Marysville Road,MARYSVILLE,ACD,2024-04-01 00:00:00
Cairns Road,HAMPTON PARK,BC,2024-04-01 00:00:00
CALDER ALTERNATIVE Highway,RAVENSWOOD,ACD,2024-10-01 00:00:00
Calder Alternative Highway,MARONG,C,2024-10-01 00:00:00
Calder Freeway,KEILOR NORTH,ABCD,2024-06-01 00:00:00
Calder Freeway,CARLSRUHE,ACD,2024-05-02 00:00:00
Calder Freeway,KYNETON,ACD,2024-05-02 00:00:00
Calder Freeway,MACEDON,ACD,2024-05-02 00:00:00
Calder Freeway,MALMSBURY,ACD,2024-05-02 00:00:00
Calder Freeway,TARADALE,ACD,2024-05-02 00:00:00
Calder Freeway,ELPHINSTONE,ACD,2024-10-01 00:00:00
Calder Freeway,FARADAY,ACD,2024-10-01 00:00:00
Calder Freeway,RAVENSWOOD SOUTH,ACD,2024-10-01 00:00:00
Calder Highway,SEA LAKE,A,2024-08-01 00:00:00
Calder Highway,OUYEN,ABC,2024-08-01 00:00:00
Calder Highway,IRYMPLE,ABCD,2024-08-01 00:00:00
Calder Highway,RED CLIFFS,ABCD,2024-08-01 00:00:00
Calder Highway,YATPOOL,ABCD,2024-08-01 00:00:00
Calder Highway,MARONG,ABCD,2024-10-01 00:00:00
Calder Highway,BIRDWOODTON,AC,2024-08-01 00:00:00
Calder Highway,HATTAH,AC,2024-08-01 00:00:00
Calder Highway,RAVENSWOOD SOUTH,ACD,2024-10-01 00:00:00
Calder Highway,BIG HILL,ACD,2024-10-01 00:00:00
Calder Highway,MAIDEN GULLY,ACD,2024-10-01 00:00:00
Calder Highway,RAVENSWOOD,ACD,2024-10-01 00:00:00
Calder Highway,MERBEIN,BCD,2024-08-01 00:00:00
Calder Highway,CABARITA,C,2024-08-01 00:00:00
Calder Highway,MERBEIN WEST,C,2024-08-01 00:00:00
Calder Highway,MITTYACK,C,2024-08-01 00:00:00
Calder Highway,YELTA,C,2024-08-01 00:00:00
Calder Highway,BERRIWILLOCK,C,2024-08-01 00:00:00
Calder Highway,CULGOA,C,2024-08-01 00:00:00
Calder Highway,DUMOSA,C,2024-08-01 00:00:00
Calder Highway,NANDALY,C,2024-08-01 00:00:00
Calder Highway,NINDA,C,2024-08-01 00:00:00
Calder Highway,NULLAWIL,C,2024-08-01 00:00:00
Calder Highway,TEDDYWADDY,C,2024-08-01 00:00:00
Calder Highway,WARNE,C,2024-08-01 00:00:00
Calder Highway,WOOSANG,C,2024-08-01 00:00:00
Calder Highway,WYCHEPROOF SOUTH,C,2024-08-01 00:00:00
Calder Highway,BRIDGEWATER ON LODDON,C,2024-10-01 00:00:00
Calder Highway,GLENALBYN,C,2024-10-01 00:00:00
Calder Highway,KURTING,C,2024-10-01 00:00:00
Calder Highway,LEICHARDT,C,2024-10-01 00:00:00
Calder Park Drive,SYDENHAM,ABCD,2024-05-02 00:00:00
Calder Park Drive,TAYLORS HILL,BC,2024-05-02 00:00:00
Caldwells Road,EAGLEHAWK,BCD,2024-10-01 00:00:00
Caledonia Street,ST ANDREWS,BCD,2024-08-01 00:00:00
Callaghan Street,EPSOM,BCD,2024-10-01 00:00:00
Calvert Street,BAIRNSDALE,C,2023-12-01 00:00:00
Cambden Park Parade,FERNTREE GULLY,BC,2024-02-01 00:00:00
Camelot Drive,GLEN WAVERLEY,C,2024-06-01 00:00:00
Cameron Parade,BUNDOORA,ABC,2024-08-01 00:00:00
Camp Road,BROADMEADOWS,AC,2024-08-01 00:00:00
Campaspe Esplanade,ECHUCA,CD,2024-05-02 00:00:00
Campbell Street,ARARAT,B,2024-10-01 00:00:00
Canning Street,AVONDALE HEIGHTS,AC,2024-08-01 00:00:00
Canterbury Road,BAYSWATER NORTH,A,2024-07-01 00:00:00
Canterbury Road,MIDDLE PARK,ABCD,2024-06-01 00:00:00
Canterbury Road,VERMONT,ACD,2024-06-01 00:00:00
Canterbury Road,MONTROSE,BC,2024-05-02 00:00:00
Canterbury Road,BLACKBURN SOUTH,C,2024-06-01 00:00:00
Canterbury Road,BOX HILL,C,2024-06-01 00:00:00
Cape Nelson Road,PORTLAND,C,T
Cape Otway Road,BIRREGURRA,ABC,2024-08-01 00:00:00
Cape Otway Road,WINCHELSEA,ABC,2024-08-01 00:00:00
Carlisle Street,WUNGHNU,ABCD,2024-07-01 00:00:00
Carnarvon Road,STRATHMORE,C,2024-08-01 00:00:00
Carngham Road,BUNKERS HILL,C,2024-08-01 00:00:00
Carngham Road,HADDON,C,2024-08-01 00:00:00
Carpenter Street,QUARRY HILL,ABCD,2024-10-01 00:00:00
Carpenter Street,SPRING GULLY,BCD,2024-10-01 00:00:00
Carrick Drive,GLADSTONE PARK,ABC,2024-08-01 00:00:00
Carroll Road,OAKLEIGH SOUTH,C,2024-06-01 00:00:00
Castlemaine-Maldon Road,MUCKLEFORD,C,2024-10-01 00:00:00
Centenary  Avenue,MELTON,C,2024-05-02 00:00:00
Centenary Avenue,MELTON,ABCD,2024-05-02 00:00:00
Centenary Avenue,MELTON WEST,B,2024-05-02 00:00:00
Centenary Drive,MILL PARK,AC,2024-08-01 00:00:00
Central Avenue,ALTONA MEADOWS,BCD,2023-08-01 00:00:00
Central Park Road,MALVERN EAST,BCD,2024-06-01 00:00:00
Central Road,NUNAWADING,C,2024-06-01 00:00:00
Centre Dandenong Road,MOORABBIN AIRPORT,AC,2024-03-01 00:00:00
Centre Dandenong Road,CHELTENHAM,C,2024-03-01 00:00:00
Centre Road,BENTLEIGH EAST,AC,2024-06-01 00:00:00
Centre Road,OAKLEIGH SOUTH,AC,2024-06-01 00:00:00
Centre Road,BENTLEIGH,C,2024-03-01 00:00:00
Centre Road,LANGWARRIN,C,2024-09-01 00:00:00
Chadstone Road,MALVERN EAST,C,2024-06-01 00:00:00
Champion Road,NEWPORT,C,2023-08-01 00:00:00
Champions Parade,WOLLERT,BCD,2024-08-01 00:00:00
Chandler Road,KEYSBOROUGH,BC,2024-08-01 00:00:00
Chapel Road,KEYSBOROUGH,BC,2024-08-01 00:00:00
Chapel Street,SOUTH YARRA,ACD,2024-06-01 00:00:00
Chapple Street,WODONGA,ABCD,2024-10-01 00:00:00
Charlton-St Arnaud Road,ST ARNAUD,C,2024-10-01 00:00:00
Chauncey Street,LANCEFIELD,C,2024-05-02 00:00:00
Cheddar Road West,RESERVOIR,BCD,2024-08-01 00:00:00
Chenery Street,MANSFIELD,C,2024-10-01 00:00:00
Cherry Tree Road,PANTON HILL,AC,2024-08-01 00:00:00
Chesterville Road,CHELTENHAM NORTH,C,2024-03-01 00:00:00
Chifley Drive,PRESTON,BCD,2024-08-01 00:00:00
Childers Street,PORTLAND,C,2023-11-01 00:00:00
Childs Road,LALOR,ABCD,2024-08-01 00:00:00
Childs Road,MILL PARK,ABCD,2024-08-01 00:00:00
Chisholm Street,BLACK HILL,ABCD,T
Chisholm Street,BALLARAT,C,2024-08-01 00:00:00
Christies Road,LEOPOLD,AC,2024-08-01 00:00:00
Chum Creek Road,HEALESVILLE,ABCD,2024-08-01 00:00:00
Chum Street,GOLDEN SQUARE,BCD,2024-10-01 00:00:00
Church Road,NYAH,C,T
Church Street,GROVEDALE,BC,2024-08-01 00:00:00
Church Street,RICHMOND,BCD,2024-08-01 00:00:00
Churchill-Traralgon Road,TRARALGON,AC,2024-02-01 00:00:00
Cimberwood Drive,CRAIGIEBURN,C,2024-08-01 00:00:00
Civic Parade,ALTONA,C,2023-08-01 00:00:00
Claremont Avenue,MALVERN,BCD,2024-06-01 00:00:00
Clarendon Street,EAST MELBOURNE,AD,2024-04-01 00:00:00
Clarendon Street,THORNBURY,BCD,T
Clarinda Road,CLARINDA,AC,2024-03-01 00:00:00
Clarke Road,SPRINGVALE SOUTH,C,2024-08-01 00:00:00
Clarkes Road,BROOKFIELD,BC,2024-05-02 00:00:00
Clayton Road,CLAYTON,C,2024-06-01 00:00:00
Clendon Road,TOORAK,BCD,2024-08-01 00:00:00
Clifton Springs Road,CLIFTON SPRINGS,BC,2024-08-01 00:00:00
Clyde Road,BERWICK,ABCD,2024-04-01 00:00:00
Clyde-Five Ways Road,CLYDE,BC,2024-04-01 00:00:00
Cobb And Co Road,CARLSRUHE,ABCD,T
Cobden-Warrnambool Road,GLENFYNE,ABC,2023-11-01 00:00:00
Coburns Road,MELTON,BCD,2024-05-02 00:00:00
Coburns Road,KURUNJANG,BCD,2024-05-02 00:00:00
Coburns Road,MELTON SOUTH,BCD,2024-05-02 00:00:00
Coburns Road,TOOLERN VALE,C,2024-05-02 00:00:00
Cohuna Island Road,COHUNA,C,T
Cohuna-Koondrook Road,GANNAWARRA,C,2023-09-01 00:00:00
Cohuna-Koondrook Road,KOONDROOK,C,2023-09-01 00:00:00
Cohuna-Leitchville Road,LEITCHVILLE,BC,2023-09-01 00:00:00
Colac Forrest Road,YEODENE,AC,2024-08-01 00:00:00
Colac Road,HIGHTON,ABCD,T
Colac-Ballarat  Road,WEERING,BC,2024-08-01 00:00:00
Colac-Ballarat Road,CAMBRIAN HILL,ABCD,2024-08-01 00:00:00
Colac-Ballarat Road,CORINDHAP,BCD,2024-08-01 00:00:00
Colac-Ballarat Road,NAPOLEONS,BCD,2024-08-01 00:00:00
Colac-Lavers Hill Road,BARONGAROOK,C,2024-08-01 00:00:00
Coleraine-Balmoral Road,BALMORAL,C,2024-10-01 00:00:00
Commercial Road,MORWELL,ABC,2024-04-01 00:00:00
Commercial Street,MERBEIN,BC,2024-08-01 00:00:00
Condon Street,KENNINGTON,ABCD,2024-10-01 00:00:00
Cook Street,PORT MELBOURNE,ABCD,2023-09-01 00:00:00
Cookes Road,DOREEN,BC,2024-08-01 00:00:00
Coolart Road,BITTERN,BC,2024-09-01 00:00:00
Coombes Road,TORQUAY,BC,2024-08-01 00:00:00
Cooper Street,SOMERTON,ABC,2024-08-01 00:00:00
Copelands Road,WARRAGUL,BCD,T
Coppards Road,MOOLAP,BC,2024-08-01 00:00:00
Coppards Road,NEWCOMB,C,2024-08-01 00:00:00
Copperfield Drive,DELAHEY,BC,2024-05-02 00:00:00
Cornwall Road,SUNSHINE,ABC,2024-05-02 00:00:00
Coronation Avenue,SWAN HILL,C,2024-08-01 00:00:00
Corrigan Road,KEYSBOROUGH,C,2024-08-01 00:00:00
